Time,Open,High,Low,Close,Volume
09:15:00,6827.0,6828.5,6769.0,6778.0,0
09:20:00,6775.5,6799.5,6771.0,6795.5,11468
09:25:00,6791.5,6800.0,6786.5,6800.0,5135
09:30:00,6800.0,6800.0,6793.5,6798.5,23504
09:35:00,6797.5,6798.0,6787.0,6791.0,4552
09:40:00,6791.0,6795.0,6789.0,6791.5,3042
09:45:00,6791.5,6794.5,6787.0,6787.0,3512
09:50:00,6786.0,6786.0,6771.5,6772.0,5076
09:55:00,6768.0,6771.0,6763.5,6763.5,4779
10:00:00,6759.0,6765.0,6755.0,6763.0,5004
10:05:00,6763.0,6767.5,6762.5,6764.0,3017
10:10:00,6761.5,6762.5,6755.5,6755.5,4761
10:15:00,6755.5,6775.0,6755.5,6768.0,8158
10:20:00,6768.0,6775.0,6768.0,6775.0,5089
10:25:00,6775.0,6775.0,6760.0,6760.0,15225
10:30:00,6762.0,6765.5,6760.0,6763.5,1684
10:35:00,6761.5,6770.0,6761.5,6770.0,2220
10:40:00,6769.0,6770.5,6764.0,6764.0,2042
10:45:00,6765.0,6767.0,6761.0,6765.5,1855
10:50:00,6766.0,6771.0,6766.0,6770.0,3872
10:55:00,6769.5,6775.0,6769.5,6773.5,2156
11:00:00,6773.5,6786.5,6773.5,6780.5,61723
11:05:00,6780.5,6784.5,6780.5,6784.5,2243
11:10:00,6783.0,6791.0,6783.0,6790.0,2319
11:15:00,6790.0,6820.0,6790.0,6819.5,12404
11:20:00,6820.0,6825.5,6815.0,6817.5,9009
11:25:00,6817.0,6829.0,6817.0,6824.0,4556
11:30:00,6825.5,6841.0,6824.0,6837.0,8303
11:35:00,6837.0,6842.0,6835.0,6840.0,5203
11:40:00,6841.0,6851.0,6824.0,6826.5,25431
11:45:00,6826.5,6832.0,6825.5,6827.5,4280
11:50:00,6828.0,6830.0,6826.5,6830.0,1347
11:55:00,6828.0,6830.0,6827.5,6828.5,2486
12:00:00,6830.0,6830.0,6826.5,6826.5,2658
12:05:00,6826.5,6827.5,6822.0,6822.0,2033
12:10:00,6822.0,6825.5,6820.5,6822.0,1272
12:15:00,6822.0,6827.5,6821.0,6821.0,1207
12:20:00,6822.5,6824.0,6812.5,6817.0,3845
12:25:00,6817.0,6823.0,6817.0,6820.0,1484
12:30:00,6820.0,6824.5,6815.5,6817.5,1824
12:35:00,6818.0,6826.5,6814.5,6823.5,1515
12:40:00,6823.0,6829.5,6822.0,6827.0,2058
12:45:00,6827.0,6830.0,6825.0,6825.5,1773
12:50:00,6827.0,6827.5,6813.0,6821.0,18373
12:55:00,6822.0,6830.0,6821.5,6826.5,1086
13:00:00,6829.5,6830.0,6827.0,6830.0,2114
13:05:00,6829.5,6830.0,6828.5,6830.0,2241
13:10:00,6829.0,6830.0,6827.5,6830.0,1418
13:15:00,6829.5,6830.0,6829.0,6829.0,3312
13:20:00,6829.0,6830.0,6828.5,6829.5,1713
13:25:00,6829.5,6830.0,6828.5,6830.0,3586
13:30:00,6829.5,6830.0,6828.5,6830.0,2321
13:35:00,6829.5,6830.0,6829.0,6830.0,3580
13:40:00,6830.0,6830.0,6822.5,6826.0,4625
13:45:00,6825.5,6827.0,6820.5,6826.0,1201
13:50:00,6825.5,6830.0,6825.0,6828.5,912
13:55:00,6828.5,6830.5,6828.5,6830.5,1172
14:00:00,6830.5,6830.5,6815.5,6823.5,3669
14:05:00,6827.0,6830.0,6825.0,6828.0,2798
14:10:00,6830.0,6841.5,6827.5,6832.0,11533
14:15:00,6832.0,6832.0,6828.0,6830.0,7718
14:20:00,6830.0,6830.0,6826.5,6829.0,8274
14:25:00,6827.5,6830.5,6827.5,6829.5,9991
14:30:00,6830.0,6830.5,6827.0,6830.0,6280
14:35:00,6829.0,6830.0,6828.0,6830.0,5546
14:40:00,6830.0,6839.5,6829.5,6832.5,8681
14:45:00,6832.5,6834.0,6825.0,6825.0,6935
14:50:00,6825.0,6825.5,6817.5,6820.0,7231
14:55:00,6819.5,6823.0,6819.5,6819.5,8059
15:00:00,6820.0,6822.0,6818.5,6820.0,9632
15:05:00,6820.0,6820.0,6813.0,6815.0,9960
15:10:00,6815.0,6830.0,6815.0,6827.0,13141
15:15:00,6825.0,6827.0,6817.0,6817.0,13620
15:20:00,6815.0,6815.0,6803.0,6806.0,12416
15:25:00,6805.0,6814.5,6785.0,6814.5,14426
