Datetime,Close,High,Low,Open,Volume
2025-11-17,26013.44921875,26024.19921875,25906.349609375,25948.19921875,281800.0
2025-11-18,25910.05078125,26029.849609375,25876.5,26021.80078125,280000.0
2025-11-19,26052.650390625,26074.650390625,25856.19921875,25918.099609375,250100.0
2025-11-20,26192.150390625,26246.650390625,26063.19921875,26132.099609375,240400.0
2025-11-21,26068.150390625,26179.19921875,26052.19921875,26109.55078125,235600.0
2025-11-24,25959.5,26142.80078125,25912.150390625,26122.80078125,464700.0
2025-11-25,25884.80078125,26032.599609375,25857.5,25998.5,260500.0
2025-11-26,26205.30078125,26215.150390625,25842.94921875,25842.94921875,275300.0
2025-11-27,26215.55078125,26310.44921875,26141.900390625,26261.25,240300.0
2025-11-28,26202.94921875,26280.75,26172.400390625,26237.44921875,202500.0
2025-12-01,26175.75,26325.80078125,26124.19921875,26325.80078125,213800.0
2025-12-02,26032.19921875,26154.599609375,25997.849609375,26087.94921875,254800.0
2025-12-03,25986.0,26066.44921875,25891.0,26004.900390625,265700.0
2025-12-04,26033.75,26098.25,25938.94921875,25981.849609375,248100.0
2025-12-05,26186.44921875,26202.599609375,25985.349609375,25999.80078125,249300.0
2025-12-08,25960.55078125,26178.69921875,25892.25,26159.80078125,320700.0
2025-12-09,25839.650390625,25923.650390625,25728.0,25867.099609375,276000.0
2025-12-10,25758.0,25947.650390625,25734.55078125,25864.05078125,207900.0
2025-12-11,25898.55078125,25922.80078125,25693.25,25771.400390625,206100.0
2025-12-12,26046.94921875,26057.599609375,25938.44921875,25971.19921875,216300.0
2025-12-15,26027.30078125,26047.150390625,25904.75,25930.05078125,181600.0
2025-12-16,25860.099609375,25980.75,25834.349609375,25951.5,264400.0
2025-12-17,25818.55078125,25929.150390625,25770.349609375,25902.400390625,206500.0
2025-12-18,25815.55078125,25902.349609375,25726.30078125,25764.69921875,197600.0
2025-12-19,25966.400390625,25993.349609375,25880.44921875,25911.5,382900.0
2025-12-22,26172.400390625,26180.69921875,26047.80078125,26055.849609375,253000.0
2025-12-23,26177.150390625,26233.55078125,26119.05078125,26205.19921875,216600.0
2025-12-24,26142.099609375,26236.400390625,26123.0,26170.650390625,188800.0
2025-12-26,26042.30078125,26144.19921875,26008.599609375,26121.25,142200.0
,^NSEI,^NSEI,^NSEI,^NSEI,
