Time,Open,High,Low,Close,Volume
09:15:00,11935.0,12031.0,11935.0,12015.0,0
09:20:00,12020.0,12100.0,12017.0,12076.0,6096
09:25:00,12076.0,12197.0,12054.0,12170.0,11015
09:30:00,12172.0,12176.0,12130.0,12139.0,4517
09:35:00,12142.0,12168.0,12109.0,12163.0,5872
09:40:00,12167.0,12187.0,12161.0,12179.0,2395
09:45:00,12185.0,12190.0,12134.0,12142.0,3706
09:50:00,12136.0,12172.0,12136.0,12166.0,2067
09:55:00,12170.0,12232.0,12163.0,12220.0,7950
10:00:00,12226.0,12227.0,12183.0,12183.0,2879
10:05:00,12179.0,12197.0,12174.0,12196.0,1620
10:10:00,12192.0,12200.0,12192.0,12192.0,953
10:15:00,12211.0,12255.0,12202.0,12248.0,4382
10:20:00,12248.0,12328.0,12240.0,12323.0,4268
10:25:00,12324.0,12357.0,12317.0,12335.0,4273
10:30:00,12335.0,12377.0,12327.0,12359.0,3582
10:35:00,12361.0,12364.0,12305.0,12330.0,2598
10:40:00,12330.0,12335.0,12316.0,12316.0,1059
10:45:00,12317.0,12327.0,12300.0,12311.0,1395
10:50:00,12315.0,12332.0,12306.0,12308.0,589
10:55:00,12308.0,12325.0,12307.0,12321.0,377
11:00:00,12321.0,12333.0,12315.0,12320.0,1347
11:05:00,12324.0,12350.0,12319.0,12337.0,829
11:10:00,12344.0,12353.0,12340.0,12345.0,1521
11:15:00,12345.0,12369.0,12322.0,12326.0,1053
11:20:00,12331.0,12341.0,12322.0,12339.0,683
11:25:00,12340.0,12349.0,12332.0,12335.0,506
11:30:00,12334.0,12346.0,12325.0,12346.0,619
11:35:00,12342.0,12412.0,12342.0,12409.0,3546
11:40:00,12409.0,12425.0,12400.0,12415.0,1901
11:45:00,12423.0,12440.0,12416.0,12439.0,3261
11:50:00,12440.0,12461.0,12426.0,12453.0,4222
11:55:00,12455.0,12457.0,12431.0,12437.0,1945
12:00:00,12433.0,12437.0,12412.0,12412.0,1055
12:05:00,12415.0,12436.0,12403.0,12420.0,1433
12:10:00,12427.0,12440.0,12420.0,12431.0,1868
12:15:00,12440.0,12440.0,12426.0,12429.0,394
12:20:00,12426.0,12434.0,12424.0,12428.0,1371
12:25:00,12428.0,12436.0,12426.0,12426.0,446
12:30:00,12432.0,12432.0,12400.0,12407.0,890
12:35:00,12407.0,12416.0,12403.0,12410.0,449
12:40:00,12410.0,12412.0,12403.0,12408.0,493
12:45:00,12407.0,12407.0,12395.0,12404.0,1770
12:50:00,12405.0,12419.0,12398.0,12404.0,1459
12:55:00,12405.0,12420.0,12405.0,12411.0,300
13:00:00,12411.0,12428.0,12398.0,12425.0,1152
13:05:00,12430.0,12450.0,12422.0,12424.0,901
13:10:00,12419.0,12439.0,12419.0,12429.0,566
13:15:00,12430.0,12441.0,12426.0,12435.0,528
13:20:00,12438.0,12463.0,12434.0,12459.0,1957
13:25:00,12460.0,12460.0,12449.0,12457.0,1194
13:30:00,12451.0,12453.0,12444.0,12444.0,605
13:35:00,12450.0,12458.0,12445.0,12451.0,795
13:40:00,12445.0,12459.0,12445.0,12457.0,391
13:45:00,12458.0,12508.0,12454.0,12501.0,2867
13:50:00,12507.0,12535.0,12502.0,12519.0,4564
13:55:00,12519.0,12538.0,12512.0,12531.0,1998
14:00:00,12526.0,12550.0,12520.0,12522.0,3471
14:05:00,12517.0,12539.0,12512.0,12533.0,1340
14:10:00,12532.0,12534.0,12517.0,12524.0,2228
14:15:00,12524.0,12535.0,12507.0,12515.0,2692
14:20:00,12515.0,12529.0,12506.0,12518.0,1576
14:25:00,12520.0,12524.0,12510.0,12510.0,1476
14:30:00,12519.0,12524.0,12510.0,12514.0,1204
14:35:00,12519.0,12520.0,12501.0,12513.0,1140
14:40:00,12513.0,12525.0,12509.0,12517.0,1031
14:45:00,12517.0,12525.0,12505.0,12508.0,1421
14:50:00,12514.0,12541.0,12509.0,12540.0,2469
14:55:00,12541.0,12542.0,12522.0,12529.0,1744
15:00:00,12534.0,12581.0,12534.0,12563.0,4178
15:05:00,12562.0,12575.0,12558.0,12572.0,2171
15:10:00,12579.0,12650.0,12574.0,12636.0,11547
15:15:00,12636.0,12670.0,12620.0,12637.0,12736
15:20:00,12637.0,12652.0,12624.0,12649.0,5138
15:25:00,12648.0,12660.0,12620.0,12620.0,3699
