Time,Open,High,Low,Close,Volume
09:15:00,5910.5,5910.5,5892.0,5902.5,0
09:20:00,5909.0,5925.0,5909.0,5925.0,408
09:25:00,5930.0,5980.0,5927.5,5957.0,1214
09:30:00,5957.0,5988.0,5957.0,5972.5,946
09:35:00,5979.0,6031.0,5979.0,6027.0,2424
09:40:00,6030.5,6058.5,6027.5,6040.5,2284
09:45:00,6040.5,6074.0,6035.5,6065.0,2567
09:50:00,6065.0,6074.0,6061.0,6069.5,1267
09:55:00,6069.5,6069.5,6047.5,6050.0,1377
10:00:00,6038.0,6039.5,5979.5,5988.0,4458
10:05:00,5995.0,6002.0,5990.0,6000.0,620
10:10:00,6002.0,6024.5,5991.5,6010.5,573
10:15:00,6014.0,6020.0,6014.0,6014.0,207
10:20:00,6014.0,6020.0,6000.0,6000.0,1471
10:25:00,5994.0,6005.0,5959.0,5959.5,1898
10:30:00,5959.5,5968.0,5944.0,5950.0,870
10:35:00,5950.0,5950.0,5928.5,5944.0,834
10:40:00,5943.0,5953.5,5932.0,5952.0,791
10:45:00,5953.5,5965.0,5943.0,5943.0,505
10:50:00,5950.0,5955.5,5940.0,5940.0,426
10:55:00,5943.5,5952.5,5910.0,5912.5,779
11:00:00,5920.0,5923.5,5880.5,5899.5,26838
11:05:00,5900.0,5900.0,5880.0,5900.0,6627
11:10:00,5900.0,5900.0,5899.5,5899.5,4568
11:15:00,5896.5,5900.0,5891.5,5900.0,3264
11:20:00,5900.0,5920.0,5885.0,5920.0,4629
11:25:00,5928.0,5947.5,5927.0,5938.0,904
11:30:00,5937.0,6002.0,5936.0,5980.0,2260
11:35:00,5988.0,5992.5,5980.5,5987.5,509
11:40:00,5995.0,6043.0,5983.5,6036.0,2059
11:45:00,6022.0,6033.5,6020.0,6028.5,641
11:50:00,6028.5,6034.5,6000.0,6000.0,865
11:55:00,6000.0,6008.5,5975.0,5980.0,818
12:00:00,5980.0,5981.5,5951.0,5951.0,1620
12:05:00,5950.0,5950.5,5941.0,5944.5,2454
12:10:00,5940.0,5950.0,5938.5,5938.5,288
12:15:00,5938.5,5947.5,5931.0,5938.5,872
12:20:00,5933.0,5940.0,5928.5,5935.5,643
12:25:00,5935.0,5938.5,5932.0,5938.5,137
12:30:00,5936.5,5936.5,5932.5,5935.0,98
12:35:00,5935.0,5945.5,5935.0,5940.0,150
12:40:00,5940.0,5946.5,5940.0,5943.0,111
12:45:00,5944.0,5946.5,5940.0,5940.0,122
12:50:00,5940.0,5948.5,5940.0,5941.0,95
12:55:00,5940.5,5945.5,5923.0,5925.5,523
13:00:00,5923.0,5923.0,5910.5,5913.0,210
13:05:00,5913.0,5925.0,5913.0,5924.0,170
13:10:00,5922.0,5931.5,5920.0,5920.0,546
13:15:00,5918.5,5923.5,5916.5,5917.0,154
13:20:00,5923.5,5925.5,5920.0,5920.0,135
13:25:00,5920.0,5925.0,5920.0,5925.0,217
13:30:00,5916.5,5923.5,5916.0,5922.5,83
13:35:00,5918.0,5925.5,5918.0,5920.0,414
13:40:00,5917.0,5920.0,5915.0,5920.0,153
13:45:00,5916.5,5929.0,5916.5,5925.0,306
13:50:00,5925.0,5925.5,5920.0,5923.0,66
13:55:00,5923.0,5940.0,5921.5,5927.5,646
14:00:00,5924.5,5928.0,5917.5,5928.0,468
14:05:00,5923.0,5926.5,5920.0,5924.0,135
14:10:00,5928.0,5930.0,5921.0,5924.5,132
14:15:00,5924.0,5930.0,5921.0,5921.0,156
14:20:00,5924.5,5975.0,5915.0,5915.0,3444
14:25:00,5915.5,5936.0,5911.5,5917.5,1839
14:30:00,5907.0,5922.0,5895.0,5903.0,6171
14:35:00,5904.0,5915.0,5891.5,5891.5,1305
14:40:00,5891.5,5902.0,5890.5,5900.0,247
14:45:00,5898.0,5902.5,5897.5,5897.5,277
14:50:00,5901.5,5919.5,5899.0,5910.0,614
14:55:00,5908.0,5912.0,5903.0,5908.5,746
15:00:00,5909.0,5910.0,5889.0,5890.0,3627
15:05:00,5889.0,5898.0,5880.0,5897.5,1656
15:10:00,5897.5,5937.0,5895.0,5933.0,25891
15:15:00,5935.0,5956.0,5930.0,5953.0,2317
15:20:00,5953.0,5955.0,5946.0,5946.5,1306
15:25:00,5949.5,5954.0,5932.5,5952.0,1757
