Date,Time,Open,High,Low,Close,Volume
2025-12-22,09:15:00,437.20001220703125,447.8500061035156,437.20001220703125,447.1000061035156,0
2025-12-22,09:20:00,446.54998779296875,447.5,445.1000061035156,445.95001220703125,90869
2025-12-22,09:25:00,445.1000061035156,448.79998779296875,444.75,445.3500061035156,204127
2025-12-22,09:30:00,444.79998779296875,450.0,444.6000061035156,448.6499938964844,209203
2025-12-22,09:35:00,448.8999938964844,450.79998779296875,448.79998779296875,449.75,242950
2025-12-22,09:40:00,449.70001220703125,451.79998779296875,449.5,451.5,139070
2025-12-22,09:45:00,451.5,451.95001220703125,450.0,450.0,87872
2025-12-22,09:50:00,450.25,451.3999938964844,450.0,450.79998779296875,69710
2025-12-22,09:55:00,450.54998779296875,451.6499938964844,450.04998779296875,450.29998779296875,125478
2025-12-22,10:00:00,450.3999938964844,451.1000061035156,449.45001220703125,449.95001220703125,63003
2025-12-22,10:05:00,449.8500061035156,450.20001220703125,449.6000061035156,449.6000061035156,31808
2025-12-22,10:10:00,449.6000061035156,451.8500061035156,449.6000061035156,450.3500061035156,77384
2025-12-22,10:15:00,450.6000061035156,451.8999938964844,450.29998779296875,451.29998779296875,35818
2025-12-22,10:20:00,451.0,451.5,450.6499938964844,450.6499938964844,39620
2025-12-22,10:25:00,450.6499938964844,451.0,450.3500061035156,450.8500061035156,20327
2025-12-22,10:30:00,450.8999938964844,450.8999938964844,447.54998779296875,448.79998779296875,85185
2025-12-22,10:35:00,448.8999938964844,451.3500061035156,448.75,450.6499938964844,35125
2025-12-22,10:40:00,450.3500061035156,450.95001220703125,450.04998779296875,450.5,19326
2025-12-22,10:45:00,450.5,450.79998779296875,450.04998779296875,450.75,16160
2025-12-22,10:50:00,450.6000061035156,450.8999938964844,450.04998779296875,450.25,13649
2025-12-22,10:55:00,450.04998779296875,450.54998779296875,450.0,450.0,10426
2025-12-22,11:00:00,450.1000061035156,450.70001220703125,450.0,450.25,14529
2025-12-22,11:05:00,450.20001220703125,450.95001220703125,450.0,450.54998779296875,16725
2025-12-22,11:10:00,450.95001220703125,450.95001220703125,448.20001220703125,448.29998779296875,102729
2025-12-22,11:15:00,448.29998779296875,448.29998779296875,447.0,447.6499938964844,67808
2025-12-22,11:20:00,447.3999938964844,447.95001220703125,445.8999938964844,446.45001220703125,61710
2025-12-22,11:25:00,446.5,446.95001220703125,445.20001220703125,445.3500061035156,39162
