Time,Open,High,Low,Close,Volume
09:15:00,5666.0,5696.0,5666.0,5687.0,0
09:20:00,5680.0,5685.5,5672.0,5682.0,879
09:25:00,5683.5,5690.0,5680.0,5683.5,171
09:30:00,5684.5,5685.0,5667.0,5675.0,1299
09:35:00,5672.5,5677.0,5671.0,5674.0,190
09:40:00,5673.0,5682.5,5672.5,5679.0,339
09:45:00,5682.0,5689.0,5682.0,5682.5,398
09:50:00,5681.0,5683.0,5678.0,5683.0,268
09:55:00,5682.0,5685.0,5682.0,5685.0,394
10:00:00,5682.5,5687.5,5681.0,5682.5,299
10:05:00,5681.0,5683.5,5672.0,5674.0,221
10:10:00,5674.0,5674.5,5666.5,5667.0,556
10:15:00,5666.0,5667.5,5660.5,5664.5,368
10:20:00,5664.5,5664.5,5658.0,5658.0,177
10:25:00,5660.0,5660.0,5652.0,5652.0,165
10:30:00,5652.0,5659.0,5646.5,5655.0,541
10:35:00,5655.0,5655.5,5648.0,5648.0,128
10:40:00,5648.0,5650.5,5646.0,5647.0,95
10:45:00,5646.0,5646.5,5644.0,5645.5,98
10:50:00,5646.5,5646.5,5642.5,5645.0,54
10:55:00,5645.0,5645.0,5621.5,5626.0,446
11:00:00,5630.0,5630.0,5619.0,5624.0,802
11:05:00,5624.0,5630.0,5624.0,5627.0,102
11:10:00,5627.0,5643.0,5627.0,5643.0,370
11:15:00,5643.0,5647.5,5640.5,5642.5,298
11:20:00,5642.5,5642.5,5634.0,5639.5,133
11:25:00,5640.5,5644.0,5639.5,5639.5,134
11:30:00,5639.5,5641.5,5633.0,5637.0,248
11:35:00,5637.0,5642.0,5633.5,5633.5,124
11:40:00,5636.0,5640.5,5636.0,5640.5,65
11:45:00,5640.0,5647.0,5639.5,5641.0,127
11:50:00,5642.5,5646.5,5640.5,5646.5,193
11:55:00,5646.5,5647.0,5637.5,5641.0,315
12:00:00,5640.5,5641.5,5637.0,5641.5,106
12:05:00,5637.0,5639.0,5636.5,5636.5,16
12:10:00,5638.5,5639.5,5636.0,5639.0,16
12:15:00,5639.5,5639.5,5634.5,5638.5,87
12:20:00,5638.5,5640.5,5636.5,5637.0,31
12:25:00,5636.5,5637.0,5636.5,5636.5,5
12:30:00,5636.0,5636.0,5635.5,5635.5,8
12:35:00,5636.0,5636.0,5632.5,5633.0,29
12:40:00,5630.0,5632.0,5629.5,5629.5,56
12:45:00,5628.0,5628.5,5623.5,5627.0,181
12:50:00,5627.0,5627.0,5625.5,5626.0,12
12:55:00,5626.0,5626.0,5616.5,5616.5,178
13:00:00,5619.0,5619.0,5605.5,5608.0,154
13:05:00,5605.5,5612.5,5605.5,5611.5,74
13:10:00,5612.0,5612.5,5608.0,5608.0,52
13:15:00,5605.0,5606.5,5601.0,5602.5,84
13:20:00,5602.5,5607.0,5596.0,5601.0,1178
13:25:00,5600.0,5600.0,5597.5,5597.5,42
13:30:00,5599.0,5599.0,5595.5,5597.0,103
13:35:00,5599.0,5599.0,5594.5,5595.0,40
13:40:00,5595.0,5597.0,5592.0,5596.5,97
13:45:00,5596.5,5596.5,5594.5,5596.0,13
13:50:00,5595.0,5597.5,5593.0,5593.0,168
13:55:00,5591.0,5596.5,5577.5,5594.5,1076
14:00:00,5594.5,5599.0,5594.5,5595.5,178
14:05:00,5596.5,5607.0,5595.5,5603.0,307
14:10:00,5603.0,5603.0,5592.0,5600.5,133
14:15:00,5597.0,5603.5,5596.5,5602.5,117
14:20:00,5602.5,5607.0,5601.0,5606.5,278
14:25:00,5606.5,5607.5,5601.0,5601.0,100
14:30:00,5601.0,5605.0,5599.0,5601.0,191
14:35:00,5600.5,5602.5,5590.0,5590.5,156
14:40:00,5590.5,5594.0,5590.5,5592.5,173
14:45:00,5591.0,5610.5,5590.5,5608.5,355
14:50:00,5607.0,5609.5,5602.0,5605.5,288
14:55:00,5605.5,5612.5,5604.5,5608.0,610
15:00:00,5614.0,5649.5,5614.0,5633.0,2990
15:05:00,5630.0,5635.0,5625.0,5625.5,2673
15:10:00,5627.0,5631.0,5623.0,5630.5,2245
15:15:00,5631.0,5631.0,5622.0,5627.0,3079
15:20:00,5626.5,5629.5,5624.0,5627.5,3791
15:25:00,5618.5,5628.5,5614.0,5628.5,0
