Datetime,Adj Close,Close,High,Low,Open,Volume
2025-11-13 04:00:00+00:00,2764.75,2764.75,2773.75,2762.75,2773.75,33693.0
2025-11-13 04:30:00+00:00,2764.75,2764.75,2769.75,2763.5,2764.75,13195.0
2025-11-13 05:00:00+00:00,2770.5,2770.5,2774.0,2762.75,2764.75,17150.0
2025-11-13 05:30:00+00:00,2774.75,2774.75,2786.0,2770.5,2770.5,48887.0
2025-11-13 06:00:00+00:00,2767.25,2767.25,2778.5,2765.25,2774.75,24579.0
2025-11-13 06:30:00+00:00,2767.25,2767.25,2770.0,2765.0,2767.25,9148.0
2025-11-13 07:00:00+00:00,2760.25,2760.25,2768.25,2755.25,2767.5,15019.0
2025-11-13 07:30:00+00:00,2761.25,2761.25,2764.0,2757.75,2760.75,7999.0
2025-11-13 08:00:00+00:00,2760.25,2760.25,2764.75,2758.75,2761.25,12470.0
2025-11-13 08:30:00+00:00,2763.0,2763.0,2763.75,2755.25,2760.25,19390.0
2025-11-13 09:00:00+00:00,2744.5,2744.5,2764.5,2742.75,2763.5,87107.0
2025-11-13 09:30:00+00:00,2738.75,2738.75,2748.75,2735.25,2744.5,99083.0
2025-11-14 04:00:00+00:00,2733.75,2733.75,2749.0,2730.0,2742.25,18700.0
2025-11-14 04:30:00+00:00,2722.0,2722.0,2735.5,2721.0,2733.75,18228.0
2025-11-14 05:00:00+00:00,2711.25,2711.25,2722.5,2710.0,2720.0,21498.0
2025-11-14 05:30:00+00:00,2707.5,2707.5,2717.25,2700.75,2711.0,53634.0
2025-11-14 06:00:00+00:00,2718.75,2718.75,2724.75,2707.5,2707.5,51091.0
2025-11-14 06:30:00+00:00,2717.75,2717.75,2723.75,2716.5,2718.0,18419.0
2025-11-14 07:00:00+00:00,2707.25,2707.25,2718.5,2702.5,2718.5,16393.0
2025-11-14 07:30:00+00:00,2708.25,2708.25,2710.0,2701.0,2707.25,23990.0
2025-11-14 08:00:00+00:00,2695.0,2695.0,2708.5,2694.5,2708.25,39241.0
2025-11-14 08:30:00+00:00,2692.0,2692.0,2697.5,2682.0,2696.25,37925.0
2025-11-14 09:00:00+00:00,2695.5,2695.5,2699.75,2691.0,2691.25,35454.0
2025-11-14 09:30:00+00:00,2706.25,2706.25,2712.0,2695.5,2696.0,52722.0
2025-11-17 04:00:00+00:00,2726.0,2726.0,2732.0,2723.25,2728.25,16974.0
2025-11-17 04:30:00+00:00,2719.25,2719.25,2727.25,2719.25,2726.75,13859.0
2025-11-17 05:00:00+00:00,2722.0,2722.0,2726.75,2712.0,2719.25,9807.0
2025-11-17 05:30:00+00:00,2715.25,2715.25,2725.0,2714.5,2722.25,7470.0
2025-11-17 06:00:00+00:00,2716.5,2716.5,2722.75,2713.25,2715.75,8257.0
2025-11-17 06:30:00+00:00,2708.0,2708.0,2716.75,2706.5,2716.5,20189.0
2025-11-17 07:00:00+00:00,2715.75,2715.75,2719.5,2705.0,2708.0,48345.0
2025-11-17 07:30:00+00:00,2720.75,2720.75,2722.25,2709.25,2716.0,21097.0
2025-11-17 08:00:00+00:00,2722.0,2722.0,2726.0,2720.25,2720.75,16092.0
2025-11-17 08:30:00+00:00,2724.5,2724.5,2734.5,2718.25,2721.0,29402.0
2025-11-17 09:00:00+00:00,2710.0,2710.0,2732.5,2710.0,2724.25,44813.0
2025-11-17 09:30:00+00:00,2719.25,2719.25,2726.75,2711.25,2711.25,54085.0
2025-11-18 04:00:00+00:00,2712.5,2712.5,2738.0,2712.5,2737.5,22246.0
2025-11-18 04:30:00+00:00,2706.75,2706.75,2715.75,2706.25,2712.5,18969.0
2025-11-18 05:00:00+00:00,2705.5,2705.5,2709.5,2702.5,2706.75,14209.0
2025-11-18 05:30:00+00:00,2703.75,2703.75,2707.5,2703.25,2706.5,9071.0
2025-11-18 06:00:00+00:00,2707.5,2707.5,2709.25,2701.75,2703.25,13390.0
2025-11-18 06:30:00+00:00,2704.5,2704.5,2709.25,2703.5,2707.5,8764.0
2025-11-18 07:00:00+00:00,2705.0,2705.0,2706.0,2701.75,2704.5,8683.0
2025-11-18 07:30:00+00:00,2709.0,2709.0,2709.5,2703.0,2704.75,7782.0
2025-11-18 08:00:00+00:00,2706.5,2706.5,2710.25,2704.25,2709.25,14131.0
2025-11-18 08:30:00+00:00,2702.25,2702.25,2709.0,2701.25,2706.5,13471.0
2025-11-18 09:00:00+00:00,2694.0,2694.0,2702.75,2694.0,2702.25,33916.0
2025-11-18 09:30:00+00:00,2693.75,2693.75,2702.5,2692.5,2696.75,71274.0
2025-11-19 04:00:00+00:00,2681.5,2681.5,2686.25,2679.75,2682.5,32104.0
2025-11-19 04:30:00+00:00,2678.25,2678.25,2683.5,2676.0,2680.75,25310.0
