Datetime,Adj Close,Close,High,Low,Open,Volume
2025-11-13 04:00:00+00:00,155.77000427246094,155.77000427246094,155.89999389648438,154.97999572753906,155.33999633789062,359907.0
2025-11-13 04:30:00+00:00,155.0800018310547,155.0800018310547,156.02000427246094,154.9600067138672,155.8000030517578,455965.0
2025-11-13 05:00:00+00:00,155.60000610351562,155.60000610351562,155.72000122070312,155.0,155.0399932861328,478639.0
2025-11-13 05:30:00+00:00,155.32000732421875,155.32000732421875,155.6999969482422,155.22999572753906,155.60000610351562,125256.0
2025-11-13 06:00:00+00:00,155.69000244140625,155.69000244140625,155.77000427246094,155.32000732421875,155.32000732421875,197840.0
2025-11-13 06:30:00+00:00,155.8000030517578,155.8000030517578,156.02000427246094,155.63999938964844,155.63999938964844,189689.0
2025-11-13 07:00:00+00:00,155.7100067138672,155.7100067138672,155.8300018310547,155.38999938964844,155.8000030517578,192850.0
2025-11-13 07:30:00+00:00,155.55999755859375,155.55999755859375,155.83999633789062,155.47999572753906,155.7100067138672,120493.0
2025-11-13 08:00:00+00:00,155.3000030517578,155.3000030517578,155.69000244140625,155.19000244140625,155.58999633789062,162417.0
2025-11-13 08:30:00+00:00,154.5500030517578,154.5500030517578,155.38999938964844,154.47000122070312,155.3000030517578,560515.0
2025-11-13 09:00:00+00:00,154.0500030517578,154.0500030517578,154.72999572753906,154.02999877929688,154.6199951171875,155727.0
2025-11-13 09:30:00+00:00,154.00999450683594,154.00999450683594,154.5,154.0,154.0500030517578,388875.0
2025-11-14 04:00:00+00:00,154.36000061035156,154.36000061035156,154.99000549316406,154.1199951171875,154.82000732421875,294135.0
2025-11-14 04:30:00+00:00,153.88999938964844,153.88999938964844,154.44000244140625,153.77000427246094,154.44000244140625,168313.0
2025-11-14 05:00:00+00:00,154.83999633789062,154.83999633789062,154.94000244140625,153.52000427246094,153.85000610351562,304974.0
2025-11-14 05:30:00+00:00,154.9600067138672,154.9600067138672,155.25999450683594,154.38999938964844,154.82000732421875,679707.0
2025-11-14 06:00:00+00:00,154.7100067138672,154.7100067138672,155.00999450683594,154.60000610351562,154.9600067138672,289896.0
2025-11-14 06:30:00+00:00,155.00999450683594,155.00999450683594,155.24000549316406,154.72000122070312,154.77000427246094,225883.0
2025-11-14 07:00:00+00:00,154.75,154.75,155.0800018310547,154.5500030517578,155.07000732421875,209903.0
2025-11-14 07:30:00+00:00,153.97999572753906,153.97999572753906,154.6199951171875,153.66000366210938,154.61000061035156,423888.0
2025-11-14 08:00:00+00:00,154.0,154.0,154.11000061035156,153.77000427246094,153.97999572753906,145537.0
2025-11-14 08:30:00+00:00,154.22000122070312,154.22000122070312,154.47999572753906,153.97999572753906,154.0399932861328,171236.0
