Date,Time,Open,High,Low,Close,Volume
2025-11-11,09:15:00,7548.0,7564.5,7518.0,7518.0,0
2025-11-11,09:20:00,7517.5,7517.5,7488.0,7493.0,12273
2025-11-11,09:25:00,7490.0,7515.0,7488.0,7505.5,5726
2025-11-11,09:30:00,7501.5,7504.5,7493.0,7496.0,2901
2025-11-11,09:35:00,7498.0,7506.0,7494.5,7494.5,2919
2025-11-11,09:40:00,7494.5,7494.5,7488.0,7491.0,4024
2025-11-11,09:45:00,7491.0,7495.0,7484.0,7485.0,3723
2025-11-11,09:50:00,7484.0,7494.5,7484.0,7488.0,3238
2025-11-11,09:55:00,7488.0,7504.5,7488.0,7503.0,3028
2025-11-11,10:00:00,7502.5,7510.5,7500.0,7506.0,1736
2025-11-11,10:05:00,7505.5,7505.5,7480.0,7500.0,9810
2025-11-11,10:10:00,7499.5,7513.0,7499.5,7511.0,5078
2025-11-11,10:15:00,7511.0,7511.0,7504.0,7508.0,5676
2025-11-11,10:20:00,7510.0,7510.5,7491.0,7501.0,5366
2025-11-11,10:25:00,7501.0,7503.0,7487.0,7487.5,5342
2025-11-11,10:30:00,7489.0,7499.0,7487.5,7496.5,2188
2025-11-11,10:35:00,7497.0,7497.0,7492.5,7492.5,1291
2025-11-11,10:40:00,7493.5,7495.5,7482.5,7482.5,3722
2025-11-11,10:45:00,7481.0,7483.0,7481.0,7483.0,1879
2025-11-11,10:50:00,7482.5,7482.5,7460.5,7469.0,11224
2025-11-11,10:55:00,7469.0,7469.5,7452.0,7452.0,4810
2025-11-11,11:00:00,7452.5,7461.0,7452.0,7455.5,3023
2025-11-11,11:05:00,7455.0,7455.0,7452.0,7452.5,4656
2025-11-11,11:10:00,7452.0,7452.5,7445.0,7449.0,5302
2025-11-11,11:15:00,7450.0,7452.5,7442.0,7451.0,2149
2025-11-11,11:20:00,7452.0,7458.0,7450.0,7455.0,6833
2025-11-11,11:25:00,7455.5,7460.0,7450.0,7460.0,4673
2025-11-11,11:30:00,7459.0,7464.0,7459.0,7460.0,937
2025-11-11,11:35:00,7460.5,7460.5,7453.0,7455.0,979
2025-11-11,11:40:00,7455.0,7460.0,7454.0,7459.5,986
2025-11-11,11:45:00,7459.5,7461.0,7458.5,7458.5,1839
2025-11-11,11:50:00,7460.0,7460.5,7450.5,7456.0,2183
2025-11-11,11:55:00,7456.0,7457.5,7452.0,7452.0,1302
2025-11-11,12:00:00,7452.5,7453.0,7452.0,7453.0,1665
2025-11-11,12:05:00,7457.0,7457.0,7441.0,7442.5,14780
2025-11-11,12:10:00,7442.5,7456.5,7442.5,7445.5,2460
2025-11-11,12:15:00,7445.5,7448.5,7442.0,7444.5,3239
2025-11-11,12:20:00,7447.5,7453.5,7445.0,7452.5,917
2025-11-11,12:25:00,7452.5,7452.5,7447.0,7450.0,1761
2025-11-11,12:30:00,7450.5,7458.0,7448.0,7448.0,3571
2025-11-11,12:35:00,7450.0,7456.0,7449.0,7450.0,2650
2025-11-11,12:40:00,7450.0,7453.0,7446.0,7449.0,2902
2025-11-11,12:45:00,7449.0,7455.0,7449.0,7452.5,2691
2025-11-11,12:50:00,7452.5,7455.0,7450.5,7450.5,2376
2025-11-11,12:55:00,7451.5,7451.5,7444.5,7444.5,1996
2025-11-11,13:00:00,7444.5,7446.0,7444.0,7446.0,1572
2025-11-11,13:05:00,7446.0,7449.0,7442.0,7442.0,2209
2025-11-11,13:10:00,7442.0,7452.0,7442.0,7450.0,1614
2025-11-11,13:15:00,7450.0,7451.5,7445.5,7448.5,1920
2025-11-11,13:20:00,7448.5,7452.0,7447.0,7449.5,1670
2025-11-11,13:25:00,7447.0,7451.0,7447.0,7449.0,1475
2025-11-11,13:30:00,7448.5,7455.0,7448.5,7452.0,1222
2025-11-11,13:35:00,7452.5,7460.5,7452.5,7460.5,3464
2025-11-11,13:40:00,7459.5,7460.5,7453.0,7456.0,4055
2025-11-11,13:45:00,7455.5,7473.0,7455.5,7472.0,5466
2025-11-11,13:50:00,7472.0,7481.0,7466.5,7478.0,3781
2025-11-11,13:55:00,7478.0,7480.0,7467.0,7470.0,4603
2025-11-11,14:00:00,7470.0,7476.0,7469.0,7474.5,1786
2025-11-11,14:05:00,7474.5,7482.5,7474.0,7481.0,1916
2025-11-11,14:10:00,7481.0,7482.0,7471.0,7475.0,2424
2025-11-11,14:15:00,7475.0,7487.0,7475.0,7486.0,3898
2025-11-11,14:20:00,7487.0,7487.0,7479.0,7482.5,3228
2025-11-11,14:25:00,7482.5,7487.0,7482.5,7486.5,1042
2025-11-11,14:30:00,7487.0,7491.0,7485.5,7488.0,2437
2025-11-11,14:35:00,7489.0,7497.0,7488.5,7493.0,6077
2025-11-11,14:40:00,7492.5,7500.5,7492.5,7496.0,2574
2025-11-11,14:45:00,7495.5,7502.5,7493.0,7502.5,2657
2025-11-11,14:50:00,7502.5,7507.5,7496.5,7497.0,3950
2025-11-11,14:55:00,7496.5,7497.0,7490.0,7490.5,2197
2025-11-11,15:00:00,7494.5,7504.5,7494.5,7502.0,6708
2025-11-11,15:05:00,7502.0,7502.5,7495.0,7498.0,4086
2025-11-11,15:10:00,7497.0,7501.5,7492.5,7500.0,7735
2025-11-11,15:15:00,7500.0,7511.5,7494.0,7494.5,8375
2025-11-11,15:20:00,7494.5,7503.0,7491.0,7499.5,8791
2025-11-11,15:25:00,7499.5,7520.0,7490.5,7520.0,8713
