Date,Stock,Entry Mode,Entry Time,Entry Price (₹),Stop-Loss (₹),Target (₹),Risk Per Share (₹),Risk %,Trigger Was (₹),Volume Strength,Relative Strength %,Why Entered,symbol,expectancy,weight,entry,stop,risk_per_share,target,loss_cap,qi_raw,qi_cap,qi,value,qi_final,value_final,allocation_reason,risk_allocated
2025-11-28,GRSE,B - VWAP Reclaim,09:40:00,2850.2,2838.7,2873.2,11.5,0.4,2847.25,1.75x,—,Price pulled back to VWAP and reclaimed it with volume support,GRSE,0.0,0.0,2850.2,2793.196,57.004,2964.2079999999996,0.0,0,1,0,0.0,0,0.0,non_positive_expectancy,0.0
2025-11-28,FIVESTAR,A - ORB Breakout,09:45:00,617.8,602.35,648.7,15.45,2.5,617.7,2.93x,1.86,Price broke above Opening Range High with strong volume and momentum,FIVESTAR,1.86,0.02114837976122797,617.8,605.444,12.356,642.512,42.29675952245594,3,4,0,0.0,0,0.0,below_min_notional,0.0
2025-11-28,LTF,A - ORB Breakout,09:50:00,313.1,309.95,319.45,3.15,1.01,312.4,3.35x,0.95,Price broke above Opening Range High with strong volume and momentum,LTF,0.95,0.010801591813530414,313.1,306.838,6.2620000000000005,325.624,21.60318362706083,3,9,0,0.0,0,0.0,below_min_notional,0.0
2025-12-01,JMFINANCIL,A - ORB Breakout,09:45:00,156.19,152.25,164.1,3.94,2.52,156.1,1.87x,2.39,Price broke above Opening Range High with strong volume and momentum,JMFINANCIL,2.39,0.02717453098351336,156.19,153.0662,3.1238,162.4376,54.34906196702672,17,19,0,0.0,0,0.0,below_min_notional,0.0
2025-12-01,MOTILALOFS,A - ORB Breakout,09:45:00,986.3,976.4,1006.1,9.9,1.0,980.1,4.56x,2.58,Price broke above Opening Range High with strong volume and momentum,MOTILALOFS,2.58,0.02933484934621944,986.3,966.574,19.726,1025.752,58.669698692438885,2,3,0,0.0,0,0.0,below_min_notional,0.0
2025-12-02,ANGELONE,A - ORB Breakout,09:45:00,2806.2,2778.1,2862.4,28.1,1.0,2799.6,4.29x,1.29,Price broke above Opening Range High with strong volume and momentum,ANGELONE,1.29,0.01466742467310972,2806.2,2750.0759999999996,56.123999999999995,2918.448,29.334849346219443,0,1,0,0.0,0,0.0,insufficient_loss_budget,0.0
2025-12-02,WOCKPHARMA,C - Day High Break,09:45:00,1558.0,1520.85,1632.3,37.15,2.38,1550.5,1.68x,4.02,Price consolidated near day high and broke out with strong volume,WOCKPHARMA,4.02,0.04570778851620238,1558.0,1526.84,31.16,1620.32,91.41557703240476,2,1,0,0.0,0,0.0,below_min_notional,0.0
2025-12-04,KFINTECH,C - Day High Break,09:30:00,1087.2,1067.6,1126.4,19.6,1.8,1082.6,2.83x,2.29,Price consolidated near day high and broke out with strong volume,KFINTECH,2.29,0.02603752131893121,1087.2,1065.4560000000001,21.744,1130.688,52.07504263786242,2,2,0,0.0,0,0.0,below_min_notional,0.0
2025-12-09,M&MFIN,B - VWAP Reclaim,09:25:00,350.1,348.65,353.05,1.45,0.41,349.1,1.31x,2.83,Price pulled back to VWAP and reclaimed it with volume support,M&MFIN,2.83,0.032177373507674814,350.1,343.098,7.002000000000001,364.10400000000004,64.35474701534963,9,8,0,0.0,0,0.0,below_min_notional,0.0
2025-12-09,GRANULES,B - VWAP Reclaim,09:30:00,544.95,543.35,548.2,1.6,0.29,544.45,1.31x,-3.6,Price pulled back to VWAP and reclaimed it with volume support,GRANULES,-3.6,0.0,544.95,534.051,10.899000000000001,566.748,0.0,0,5,0,0.0,0,0.0,non_positive_expectancy,0.0
2025-12-09,JWL,B - VWAP Reclaim,09:45:00,250.5,249.25,253.0,1.25,0.5,249.95,3.16x,-0.12,Price pulled back to VWAP and reclaimed it with volume support,JWL,-0.12,0.0,250.5,245.49,5.01,260.52,0.0,0,11,0,0.0,0,0.0,non_positive_expectancy,0.0
2025-12-09,SWIGGY,A - ORB Breakout,09:55:00,390.1,386.15,398.05,3.95,1.01,384.8,1.99x,1.72,Price broke above Opening Range High with strong volume and momentum,SWIGGY,1.72,0.01955656623081296,390.1,382.298,7.8020000000000005,405.704,39.113132461625916,5,7,0,0.0,0,0.0,below_min_notional,0.0
2025-12-09,ENRIN,C - Day High Break,09:55:00,2960.0,2933.8,3012.4,26.2,0.89,2954.95,1.0x,0.36,Price consolidated near day high and broke out with strong volume,ENRIN,0.36,0.004093234792495736,2960.0,2900.7999999999997,59.2,3078.4,8.186469584991473,0,1,0,0.0,0,0.0,insufficient_loss_budget,0.0
2025-12-10,JSWENERGY,B - VWAP Reclaim,09:30:00,466.35,465.05,469.0,1.3,0.28,464.8,2.13x,0.56,Price pulled back to VWAP and reclaimed it with volume support,JSWENERGY,0.56,0.006367254121660035,466.35,457.023,9.327,485.004,12.73450824332007,1,6,0,0.0,0,0.0,below_min_notional,0.0
2025-12-10,GODFRYPHLP,A - ORB Breakout,09:45:00,2886.0,2813.8,3030.4,72.2,2.5,2881.6,4.88x,1.09,Price broke above Opening Range High with strong volume and momentum,GODFRYPHLP,1.09,0.012393405343945424,2886.0,2828.2799999999997,57.72,3001.44,24.78681068789085,0,1,0,0.0,0,0.0,insufficient_loss_budget,0.0
2025-12-10,HDFCAMC,A - ORB Breakout,09:45:00,2624.3,2598.05,2676.85,26.25,1.0,2613.4,3.01x,1.95,Price broke above Opening Range High with strong volume and momentum,HDFCAMC,1.95,0.022171688459351902,2624.3,2571.8140000000003,52.486000000000004,2729.2720000000004,44.343376918703804,0,1,0,0.0,0,0.0,insufficient_loss_budget,0.0
2025-12-10,HINDZINC,A - ORB Breakout,09:55:00,512.65,507.35,523.3,5.3,1.03,512.35,10.33x,1.1,Price broke above Opening Range High with strong volume and momentum,HINDZINC,1.1,0.012507106310403639,512.65,502.397,10.253,533.156,25.014212620807278,2,5,0,0.0,0,0.0,below_min_notional,0.0
2025-12-10,ABCAPITAL,B - VWAP Reclaim,09:55:00,367.9,366.5,370.7,1.4,0.38,367.3,0.82x,0.31,Price pulled back to VWAP and reclaimed it with volume support,ABCAPITAL,0.31,0.0035247299602046618,367.9,360.542,7.358,382.616,7.049459920409324,0,8,0,0.0,0,0.0,insufficient_loss_budget,0.0
2025-12-11,HINDZINC,A - ORB Breakout,09:45:00,527.7,522.4,538.35,5.3,1.0,525.15,2.65x,1.57,Price broke above Opening Range High with strong volume and momentum,HINDZINC,1.57,0.01785105173393974,527.7,517.1460000000001,10.554,548.808,35.702103467879475,3,5,0,0.0,0,0.0,below_min_notional,0.0
