Time,Open,High,Low,Close,Volume
09:15:00,5585.5,5585.5,5540.5,5540.5,0
09:20:00,5543.0,5543.0,5530.0,5530.0,508
09:25:00,5530.0,5532.5,5527.0,5527.0,571
09:30:00,5525.0,5535.5,5516.0,5516.0,503
09:35:00,5515.5,5518.0,5505.5,5508.0,477
09:40:00,5508.0,5510.5,5505.0,5505.0,105
09:45:00,5505.5,5510.0,5504.0,5508.0,176
09:50:00,5510.5,5512.0,5496.5,5504.0,837
09:55:00,5507.0,5507.0,5503.0,5503.0,59
10:00:00,5503.0,5511.5,5503.0,5505.5,253
10:05:00,5506.0,5506.0,5493.0,5506.0,208
10:10:00,5499.0,5507.0,5488.0,5495.0,172
10:15:00,5492.0,5499.0,5482.5,5483.0,232
10:20:00,5488.0,5491.5,5480.0,5481.0,112
10:25:00,5481.5,5481.5,5475.0,5476.0,602
10:30:00,5476.0,5476.5,5471.0,5471.0,314
10:35:00,5471.0,5471.0,5455.0,5455.0,1008
10:40:00,5452.5,5457.0,5451.0,5455.0,175
10:45:00,5455.0,5458.0,5451.0,5451.5,141
10:50:00,5451.5,5457.0,5451.0,5457.0,177
10:55:00,5454.0,5458.0,5446.0,5447.5,1095
11:00:00,5446.0,5452.5,5446.0,5447.0,254
11:05:00,5450.0,5450.0,5425.0,5426.5,718
11:10:00,5427.0,5427.0,5420.0,5422.0,441
11:15:00,5420.0,5424.0,5418.0,5422.0,241
11:20:00,5427.0,5427.0,5420.5,5420.5,80
11:25:00,5420.5,5423.5,5420.5,5421.0,119
11:30:00,5421.5,5424.0,5421.0,5423.5,102
11:35:00,5423.5,5430.0,5422.0,5429.0,175
11:40:00,5429.0,5430.0,5428.0,5428.0,87
11:45:00,5430.5,5430.5,5428.0,5428.0,142
11:50:00,5428.0,5428.5,5425.0,5426.0,105
11:55:00,5425.0,5428.0,5425.0,5425.0,103
12:00:00,5427.0,5428.0,5425.0,5425.0,65
12:05:00,5425.0,5427.0,5421.0,5422.0,365
12:10:00,5422.0,5433.0,5421.0,5427.0,1178
12:15:00,5432.5,5456.0,5426.5,5433.0,1388
12:20:00,5440.0,5442.0,5432.5,5437.0,926
12:25:00,5440.0,5454.5,5431.5,5443.0,1649
12:30:00,5443.5,5458.0,5436.5,5445.5,836
12:35:00,5450.5,5455.0,5442.5,5446.0,1274
12:40:00,5450.0,5453.0,5446.0,5446.0,687
12:45:00,5450.0,5450.5,5444.0,5450.0,786
12:50:00,5453.0,5460.5,5440.5,5460.5,980
12:55:00,5463.0,5463.0,5454.0,5459.5,323
13:00:00,5454.0,5473.5,5454.0,5468.5,117
13:05:00,5467.0,5476.0,5465.0,5465.0,154
13:10:00,5468.0,5473.0,5467.5,5472.5,13
13:15:00,5475.0,5475.0,5466.5,5466.5,124
13:20:00,5466.5,5469.0,5453.5,5456.0,190
13:25:00,5453.0,5459.5,5453.0,5459.0,212
13:30:00,5459.0,5460.0,5452.5,5459.5,103
13:35:00,5455.0,5505.0,5455.0,5500.0,830
13:40:00,5504.0,5508.0,5497.0,5500.5,518
13:45:00,5500.0,5503.5,5497.5,5503.5,381
13:50:00,5503.5,5504.0,5500.0,5500.0,94
13:55:00,5500.0,5500.5,5490.0,5500.5,1256
14:00:00,5500.5,5501.0,5500.0,5500.0,38
14:05:00,5501.0,5507.5,5496.5,5500.0,1030
14:10:00,5500.0,5514.0,5490.5,5500.0,807
14:15:00,5500.0,5505.5,5491.5,5502.0,351
14:20:00,5502.0,5506.0,5500.0,5506.0,62
14:25:00,5506.0,5506.0,5500.0,5503.0,13
14:30:00,5500.5,5502.5,5488.0,5500.0,1688
14:35:00,5500.0,5500.0,5492.5,5495.5,2009
14:40:00,5500.0,5503.5,5493.5,5493.5,1887
14:45:00,5493.0,5503.0,5493.0,5495.0,1961
14:50:00,5499.5,5500.0,5494.0,5500.0,2043
14:55:00,5495.0,5500.0,5491.0,5500.0,2037
15:00:00,5492.5,5500.0,5492.5,5499.5,2228
15:05:00,5498.5,5500.0,5496.5,5500.0,2635
15:10:00,5500.0,5500.0,5487.0,5500.0,3089
15:15:00,5498.0,5500.0,5487.5,5500.0,2710
15:20:00,5500.0,5500.0,5487.0,5496.5,2813
15:25:00,5499.0,5500.0,5487.0,5487.0,2163
